Object ID,Class Label,X,Y,Z
3,C - N -B - L,4.796718598508029,0.44336794746652414,18.99689719528727
3,C - N -B - L,4.764814220102922,0.4035706280903055,18.992241742006875
3,C - N -B - L,4.768276095880009,0.4336448779815389,18.96105775639292
3,C - N -B - L,4.736559631956343,0.37616527630975016,18.89771978923921
3,C - N -B - L,4.76808126217491,0.3998325046033801,19.006133052795914
3,C - N -B - L,4.750277198567388,0.4355693223469961,18.919765082622664
3,C - N -B - L,4.777144846843956,0.44542366163671826,18.990965358617313
3,C - N -B - L,4.768228919696158,0.4101841271853787,19.03109961144274
3,C - N -B - L,4.771852588036941,0.38997667019500437,19.020251531934377
3,C - N -B - L,4.748736491862934,0.40050093088864447,18.904782431016706
3,C - N -B - L,4.746843637743762,0.39760205644984337,18.89123142636168
3,C - N -B - L,4.783845435562477,0.40174130625103227,18.98824517240783
3,C - N -B - L,4.751452828170134,0.45368770824556043,18.844415378844367
3,C - N -B - L,4.77009526947367,0.4068585421864293,18.994770127538725
3,C - N -B - L,4.827514600896114,0.4112979710117152,19.208211948131982
3,C - N -B - L,4.805490179625602,0.426928143710044,18.977483155662508
3,C - N -B - L,4.787223853429303,0.3923607617247544,19.011112394037454
3,C - N -B - L,4.7437763994443936,0.39938369937834634,18.912563430719178
3,C - N -B - L,4.821974672476719,0.40630860484346853,19.100509074542725
3,C - N -B - L,4.792478227458914,0.42879887622431,18.98273875954897
3,C - N -B - L,4.770189240546777,0.3547088806029326,18.96205631909874
3,C - N -B - L,4.735462498662697,0.40326815000074934,18.793211461238226
3,C - N -B - L,4.745254554911984,0.39574398352848217,18.833217845179007
3,C - N -B - L,4.788038685017834,0.4228158935990175,19.04116125760754
3,C - N -B - L,4.746995811566845,0.41128285718153573,18.949165495402987
3,C - N -B - L,4.778425429610357,0.43916643146939904,19.031779756724646
3,C - N -B - L,4.782097533696749,0.45997550818971783,19.031567317675687
3,C - N -B - L,4.787409065705091,0.42090659400755576,18.96551799028039
3,C - N -B - L,4.797245111107024,0.446521913898553,19.087903452662456
3,C - N -B - L,4.759773649745896,0.3805205899760228,18.95614356083112
3,C - N -B - L,4.8366014470159495,0.4112168635247491,19.260015062143363
3,C - N -B - L,4.791897404186643,0.42640640050728845,19.03293486547469
3,C - N -B - L,4.772777373968885,0.4091058210085719,18.940386261419672
3,C - N -B - L,4.806357420900767,0.380763282376129,19.1169555187709
3,C - N -B - L,4.758803863284544,0.4088706017161459,18.914169593218602
3,C - N -B - L,4.789658513390958,0.4137817908613452,19.038525823288012
3,C - N -B - L,4.751674897760895,0.4373803138926912,18.809487595233566
3,C - N -B - L,4.76572963661264,0.44356412340021695,18.845591616682032
3,C - N -B - L,4.776170147716907,0.40257997419594377,18.948047075078946
3,C - N -B - L,4.767099859229633,0.40468211960054573,18.935450964038793
3,C - N -B - L,4.794975091580173,0.40812196276956153,19.119161388122798
3,C - N -B - L,4.772444980630318,0.4201392819198366,19.01450913857744
3,C - N -B - L,4.7824080617556195,0.40421059694277833,19.011405430109093
3,C - N -B - L,4.7862571255011535,0.41186888486075257,19.026528190432586
3,C - N -B - L,4.797286763790923,0.4076851667059516,19.05833623444259
3,C - N -B - L,4.80473374493179,0.41239920210790965,19.090335230394004
3,C - N -B - L,4.7288703549739015,0.3507272624268631,18.844952719282006
3,C - N -B - L,4.775316393646959,0.4036919167815104,19.030030399957283
3,C - N -B - L,4.725945698403307,0.4552873428278441,18.80640338500404
3,C - N -B - L,4.793830618179961,0.43914336855779396,19.00627993807196
3,C - N -B - L,4.769443755540332,0.38666281270448827,18.982088753520515
