Object ID,Class Label,Estimated Distance (cm),Ground Truth Distance (cm),Error (cm)
3,C - N -B - L,16.803750305225012,16.5,0.30375030522501234
3,C - N -B - L,16.725135199369895,16.5,0.22513519936989468
3,C - N -B - L,16.758415834323387,16.5,0.25841583432338666
3,C - N -B - L,16.552268063895895,16.5,0.052268063895894556
3,C - N -B - L,16.6655998555073,16.5,0.16559985550729905
3,C - N -B - L,16.325879585893194,16.5,0.174120414106806
3,C - N -B - L,16.737291816713586,16.5,0.23729181671358646
3,C - N -B - L,16.39884443863923,16.5,0.10115556136076975
3,C - N -B - L,16.573221784499516,16.5,0.07322178449951622
3,C - N -B - L,16.647986915973533,16.5,0.14798691597353297
3,C - N -B - L,16.62357207418206,16.5,0.12357207418206073
3,C - N -B - L,16.62292828782007,16.5,0.12292828782006993
3,C - N -B - L,16.614333606274656,16.5,0.11433360627465561
3,C - N -B - L,16.479416793013442,16.5,0.02058320698655791
3,C - N -B - L,16.60740966160414,16.5,0.1074096616041409
3,C - N -B - L,16.62250083535699,16.5,0.12250083535699119
3,C - N -B - L,16.673954792589633,16.5,0.1739547925896332
3,C - N -B - L,16.47382677215347,16.5,0.026173227846530978
3,C - N -B - L,16.258940938039668,16.5,0.2410590619603319
3,C - N -B - L,16.659381306040213,16.5,0.1593813060402134
3,C - N -B - L,16.822068480806177,16.5,0.3220684808061769
3,C - N -B - L,16.485227661984275,16.5,0.014772338015724529
3,C - N -B - L,16.261129772601386,16.5,0.23887022739861408
3,C - N -B - L,16.512871056726944,16.5,0.012871056726943664
3,C - N -B - L,16.672609296620056,16.5,0.17260929662005609
3,C - N -B - L,16.508515791370115,16.5,0.008515791370115267
3,C - N -B - L,16.609831690231324,16.5,0.10983169023132433
3,C - N -B - L,16.50770951285141,16.5,0.007709512851409528
3,C - N -B - L,16.627474721269937,16.5,0.12747472126993742
3,C - N -B - L,16.794987132675708,16.5,0.29498713267570764
3,C - N -B - L,16.63272906168429,16.5,0.13272906168429088
3,C - N -B - L,16.555835461620294,16.5,0.05583546162029407
3,C - N -B - L,16.646736786097264,16.5,0.14673678609726437
3,C - N -B - L,16.3201953333527,16.5,0.17980466664729988
3,C - N -B - L,16.39329610150013,16.5,0.10670389849986961
3,C - N -B - L,16.664691205421843,16.5,0.16469120542184257
3,C - N -B - L,16.5187171314658,16.5,0.018717131465798786
3,C - N -B - L,16.622969347876015,16.5,0.12296934787601543
3,C - N -B - L,16.31931406316084,16.5,0.18068593683916134
3,C - N -B - L,16.65448988325961,16.5,0.1544898832596111
3,C - N -B - L,16.656961739387516,16.5,0.15696173938751556
3,C - N -B - L,16.656667993234564,16.5,0.1566679932345636
3,C - N -B - L,16.726293201385456,16.5,0.22629320138545594
3,C - N -B - L,16.49318108268566,16.5,0.006818917314340922
3,C - N -B - L,16.73509851667938,16.5,0.2350985166793791
3,C - N -B - L,16.744511244982785,16.5,0.24451124498278531
3,C - N -B - L,16.60864949976458,16.5,0.10864949976458149
3,C - N -B - L,16.527754585482324,16.5,0.02775458548232379
3,C - N -B - L,16.40320342200072,16.5,0.09679657799928165
3,C - N -B - L,16.592876237898686,16.5,0.09287623789868604
3,C - N -B - L,16.688795460131583,16.5,0.18879546013158333
3,C - N -B - L,16.33900878307384,16.5,0.1609912169261598
